,stock_id,stock_name
112,00124,GUANGDONG LAND HOLDINGS LIMITED
113,00125,SUN HING VISION GROUP HOLDINGS LIMITED
114,00126,CARRIANNA GROUP HOLDINGS COMPANY LIMITED
115,00127,CHINESE ESTATES HOLDINGS LIMITED
116,00128,ENM HOLDINGS LIMITED
117,00129,ASIA STANDARD INTERNATIONAL GROUP LTD
118,00130,MOISELLE INTERNATIONAL HOLDINGS LIMITED
119,00131,CHEUK NANG (HOLDINGS) LIMITED
120,00132,CHINA INVESTMENTS HOLDINGS LIMITED
121,00133,CHINA MERCHANTS CHINA DIRECT INVESTMENTS LIMITED
122,00135,KUNLUN ENERGY COMPANY LIMITED
123,00136,CHINA RUYI HOLDINGS LIMITED
124,00137,JINHUI HOLDINGS COMPANY LIMITED
125,00138,CCT FORTIS HOLDINGS LIMITED
126,00139,CENTRAL WEALTH GROUP HOLDINGS LIMITED
127,00141,SKY CHINAFORTUNE HOLDINGS GROUP LIMITED
128,00142,FIRST PACIFIC CO. LTD.
129,00143,GUOAN INTERNATIONAL LIMITED
130,00144,CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED
131,00145,CCIAM FUTURE ENERGY LIMITED
132,00146,TAI PING CARPETS INTERNATIONAL LTD
133,00147,INTERNATIONAL BUSINESS SETTLEMENT HOLDINGS LIMITED
134,00148,KINGBOARD HOLDINGS LIMITED
135,00149,CHINA AGRI-PRODUCTS EXCHANGE LIMITED
136,00150,HYPEBEAST LIMITED
137,00151,WANT WANT CHINA HOLDINGS LIMITED
138,00152,SHENZHEN INTERNATIONAL HOLDINGS LIMITED
139,00153,CHINA SAITE GROUP COMPANY LIMITED
140,00154,BEIJING ENTERPRISES ENVIRONMENT GROUP LIMITED
141,00156,LIPPO CHINA RESOURCES LIMITED
142,00157,NATURAL BEAUTY BIO-TECHNOLOGY LIMITED
143,00158,MELBOURNE ENTERPRISES LTD.
144,00159,BROCKMAN MINING LIMITED
145,00160,"HON KWOK LAND INVESTMENT COMPANY,LIMITED"
146,00162,CENTURY GINWA RETAIL HOLDINGS LIMITED
147,00163,EMPEROR INTERNATIONAL HOLDINGS LIMITED
148,00164,CHINA BAOLI TECHNOLOGIES HOLDINGS LIMITED
149,00165,CHINA EVERBRIGHT LIMITED
150,00166,NEW TIMES ENERGY CORPORATION LIMITED
151,00167,IDT INTERNATIONAL LIMITED
152,00168,TSINGTAO BREWERY COMPANY LIMITED
153,00169,WANDA HOTEL DEVELOPMENT COMPANY LIMITED
154,00171,SILVER GRANT INTERNATIONAL HOLDINGS GROUP LIMITED
155,00173,K. WAH INTERNATIONAL HOLDINGS LIMITED
156,00174,GEMINI INVESTMENTS (HOLDINGS) LIMITED
157,00175,GEELY AUTOMOBILE HOLDINGS LIMITED
158,00176,SUPERACTIVE GROUP COMPANY LIMITED
159,00177,JIANGSU EXPRESSWAY COMPANY LIMITED
160,00178,SA SA INTERNATIONAL HOLDINGS LIMITED
161,00179,JOHNSON ELECTRIC HOLDINGS LIMITED
162,00180,KADER HOLDINGS CO. LTD
163,00181,FUJIAN HOLDINGS LIMITED
164,00182,CONCORD NEW ENERGY GROUP LIMITED
165,00183,WINFULL GROUP HOLDINGS LIMITED
166,00184,KECK SENG INVESTMENTS (HONG KONG) LTD
